,state,vet_pop_2005,overall_pop_18_2005,vet_pop_p_2005,vet_suicides_2005,all_suicides_2005,vet_suicides_p_2005,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
22,Minnesota,407255,3759713,0.108320768,103,547,0.188299817,100,0.970873786,3,0.029126214,2,,,3,,,9,,,27,,,24,,38,25.29127942,13.2440138
23,Mississippi,226398,2070896,0.109323694,68,363,0.187327824,68,1,0,0,4,,,4,,,7,,,13,,,8,,32,30.03560102,15.99351151
24,Missouri***,533517,4251339,0.125493874,180,727,0.247592847,177,0.983333333,3,0.016666667,6,,,12,,,24,,,33,,,33,,72,33.73838134,14.71291525
25,Montana,100637,704193,0.142911105,59,206,0.286407767,57,0.966101695,2,0.033898305,1,,,,,12,,,,,,27,,,19,58.62654888,24.35565217
26,Nebraska,154607,1270888,0.121652734,18,187,0.096256684,,0,,0,,,,,,,,,,,,,,,,11.6424224,15.13955715
27,Nevada,233633,1757343,0.132946727,106,480,0.220833333,,0,,0,2,,,2,,,7,,,20,,,30,,48,45.370303,24.54535312
28,New Hampshire,129603,967192,0.133999247,37,162,0.228395062,37,1,0,0,,,,,,,,,,,,,,,,28.54872187,14.9237872
29,New Jersey,546437,6358519,0.085937779,80,536,0.149253731,79,0.9875,1,0.0125,2,,,4,,,7,,,10,,,16,,41,14.64029705,7.845725508
30,New Mexico,177687,1392242,0.127626519,80,342,0.233918129,77,0.9625,3,0.0375,2,,,4,,,7,,,21,,,14,,33,45.02298986,21.57168675
31,New York,1098272,14119047,0.077786553,208,1189,0.174936922,203,0.975961538,5,0.024038462,2,,,4,,,4,,,4,,,5,,9,18.93884211,7.534113753
32,North Carolina,723831,6240503,0.115989208,225,1009,0.222993062,216,0.96,9,0.04,6,,,26,,,25,,,39,,,46,,83,31.084604,14.21146662
33,North Dakota**,58479,470198,0.12437101,24,92,0.260869565,24,1,0,0,1,,,2,,,1,,,5,,,4,,11,41.04037347,16.516119
34,Ohio,982418,8390951,0.11708065,282,1341,0.210290828,278,0.985815603,4,0.014184397,1,,,17,,,31,,,56,,,71,,106,28.70468579,14.29432791
35,Oklahoma,341464,2572747,0.132723505,109,522,0.208812261,,0,4,0.036697248,,,,7,,,12,,,,,,,,,31.92137385,18.50953017
36,Oregon,350365,2709927,0.129289461,154,560,0.275,149,0.967532468,5,0.032467532,5,,,4,,,11,,,24,,,28,,77,43.95416209,17.20658326
37,Pennsylvania,1088379,9169767,0.118692111,336,1430,0.234965035,331,0.985119048,5,0.014880952,9,,,16,,,40,,,52,,,68,,151,30.87159896,13.5372785
38,Rhode Island,88971,785844,0.113217127,15,71,0.211267606,,0,,0,,,,,,,,,,,,,,,,16.85942611,8.035897502
39,South Carolina,400152,3077479,0.130025908,96,510,0.188235294,93,0.96875,3,0.03125,4,,,6,,,11,,,23,,,21,,31,23.99088346,15.46318399
40,South Dakota,67985,557930,0.121852204,29,121,0.239669421,,0,,0,,,,,,,,,,,,,,,,42.65646834,18.7776179
41,Tennessee,509881,4412551,0.115552432,183,856,0.213785047,178,0.972677596,5,0.027322404,3,,,9,,,15,,,27,,,46,,83,35.89072744,17.24460433
42,Texas,1612948,15899260,0.101447992,509,2418,0.210504549,498,0.978388998,11,0.021611002,,33,,,55,,,89,,,95,,,230,,31.55712397,13.36244092
43,Utah,143301,1683956,0.085097829,49,348,0.140804598,48,0.979591837,1,0.020408163,2,,,7,,,5,,,9,,,10,,16,34.19375999,19.40733
44,Vermont,57633,469021,0.122879359,10,78,0.128205128,9,0.9,1,0.1,0,,,0,,,1,,,3,,,2,,4,17.35117034,16.52940776
45,Virginia,757224,5442170,0.139140086,206,866,0.237875289,199,0.966019417,7,0.033980583,3,,,20,,,16,,,43,,,44,,80,27.20463165,14.08767572
46,Washington,628595,4633815,0.135653883,225,822,0.273722628,216,0.96,9,0.04,6,,,26,,,25,,,39,,,46,,83,35.79411227,14.90554826
47,West Virginia,175697,1389726,0.126425641,73,255,0.28627451,73,1,0,0,2,,,6,,,6,,,11,,,18,,30,41.54880277,14.99140465
48,Wisconsin,444679,4080095,0.108987413,136,643,0.211508554,,0,,0,0,,,6,,,23,,,28,,,26,,53,30.58385937,13.94613436
49,Wyoming,55519,379651,0.146236939,17,90,0.188888889,,0,,0,,,,,,,,,,,,,,,,30.62014806,22.52168869
